Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit,Animal,Sex,GT,Age P,Slice
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 031024_WFA_PV_juvenile_set1_538612_P29_HET_M_s2_20X_Merged (combined).tif,106,81,47,0,3,255,3,255,4,4,1,pixels,538612,M,HET,29,2
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 031024_WFA_PV_juvenile_set1_538612_P29_HET_M_s4_20X_Merged (combined).tif,86,73,30,0,3,255,3,255,4,4,1,pixels,538612,M,HET,29,4
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 031024_WFA_PV_juvenile_set1_538615_P29_WT_F_s1_20X_Merged (combined).tif,82,36,23,0,3,255,3,255,4,4,1,pixels,538615,F,WT,29,1
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 031024_WFA_PV_juvenile_set1_538615_P29_WT_F_s4_20X_Merged (combined).tif,108,49,35,0,3,255,3,255,4,4,1,pixels,538615,F,WT,29,4
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 031024_WFA_PV_juvenile_set1_538615_P29_WT_F_s5_20X_Merged (combined).tif,80,55,22,0,3,255,3,255,4,4,1,pixels,538615,F,WT,29,5
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 031024_WFA_PV_juvenile_set1_AC0411_P29_WT_F_s1_20X_Merged (combined).tif,104,96,61,0,3,255,3,255,4,4,1,pixels,AC0411,F,WT,29,1
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 031024_WFA_PV_juvenile_set1_AC0411_P29_WT_F_s3_20X_Merged (combined).tif,94,85,51,0,3,255,3,255,4,4,1,pixels,AC0411,F,WT,29,3
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 031024_WFA_PV_juvenile_set1_AC0411_P29_WT_F_s4_20X_Merged (combined).tif,97,85,48,0,3,255,3,255,4,4,1,pixels,AC0411,F,WT,29,4
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 221024_WFA_PV_juvenile_set1_538612_P29_HET_M_s1r_20X_Merged (combined).tif,101,103,55,0,3,255,3,255,4,4,1,pixels,538612,M,HET,29,1
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 221024_WFA_PV_juvenile_set1_AC0410_P29_HET_F_s1r_20X_Merged (combined).tif,98,118,63,0,3,255,3,255,4,4,1,pixels,AC0410,F,HET,29,1
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 221024_WFA_PV_juvenile_set1_AC0410_P29_HET_F_s2r_20X_Merged (combined).tif,93,61,36,0,3,255,3,255,4,4,1,pixels,AC0410,F,HET,29,2
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 221024_WFA_PV_juvenile_set1_AC0410_P29_HET_F_s3r_20X_Merged (combined).tif,79,78,48,0,3,255,3,255,4,4,1,pixels,AC0410,F,HET,29,3
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 240924_WFA_PV_juvenile_set1_AC0418_P29_WT_M_s2_20X_Merged (combined).tif,78,56,28,0,3,255,3,255,4,4,1,pixels,AC0418,M,WT,29,2
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 240924_WFA_PV_juvenile_set1_AC0418_P29_WT_M_s4_20X_Merged (combined).tif,103,49,33,0,3,255,3,255,4,4,1,pixels,AC0418,M,WT,29,4
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 240924_WFA_PV_juvenile_set1_AC0418_P29_WT_M_s5_20X_Merged (combined).tif,68,29,13,0,3,255,3,255,4,4,1,pixels,AC0418,M,WT,29,5
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 260924_WFA_PV_juvenile_set1_AC0304_P29_HET_M_s2_20X_Merged (combined).tif,62,70,25,0,3,255,3,255,4,4,1,pixels,AC0304,M,HET,29,2
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 260924_WFA_PV_juvenile_set1_AC0304_P29_HET_M_s3_20X_Merged (combined).tif,59,102,33,0,3,255,3,255,4,4,1,pixels,AC0304,M,HET,29,3
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 260924_WFA_PV_juvenile_set1_AC0304_P29_HET_M_s4_20X_Merged (combined).tif,57,84,29,0,3,255,3,255,4,4,1,pixels,AC0304,M,HET,29,4
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 031024_WFA_PV_juvenile_set1_AC0301_P29_KO_M_s1_20X_Merged (combined).tif,96,53,28,0,3,255,3,255,4,4,1,pixels,ACO301,M,KO,29,1
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 031024_WFA_PV_juvenile_set1_AC0301_P29_KO_M_s4_20X_Merged (combined).tif,75,46,14,0,3,255,3,255,4,4,1,pixels,ACO301,M,KO,29,4
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 031024_WFA_PV_juvenile_set1_AC0301_P29_KO_M_s6_20X_Merged (combined).tif,72,73,20,0,3,255,3,255,4,4,1,pixels,ACO301,M,KO,29,6
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 081024_WFA_PV_juvenile_set1_AC0415_P29_KO_F_s1R_20X_Merged (combined).tif,89,102,51,0,3,255,3,255,4,4,1,pixels,AC0415,F,KO,29,1
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 081024_WFA_PV_juvenile_set1_AC0415_P29_KO_F_s2_20X_Merged (combined).tif,93,103,51,0,3,255,3,255,4,4,1,pixels,AC0415,F,KO,29,2
Output\MAX_TILESCANS_20240924_WFA_PV_juvenile_set1_lif - 081024_WFA_PV_juvenile_set1_AC0415_P29_KO_F_s3_20X_Merged (combined).tif,82,81,34,0,3,255,3,255,4,4,1,pixels,AC0415,F,KO,29,3